文档,摘要,模型预测摘要
英格兰霍奇森表示，就算张伯伦因伤无法出战世界杯小组赛，他也会将其留在23人的大名单当中，”我们说不准他需要多长时间恢复，但我们会尽一切可能让他留下来。我们觉得自己能够从小组出线，虽然这无法保证，但我们肯定会为此做准备的。,霍 奇 森 ： 踢 不 了 小 组 赛 张 伯 伦 也 会 留 下,英 格 兰 小 组 赛 将 于 2 0 1 3 年
莫耶斯在接受《卫报》采访时透露，他已经拒绝了几份执教邀请，并表示想执教一家能参加下赛季欧冠的球队，”我有几次回到执教岗位的机会，但我拒绝了，我希望一支参加欧冠的球队能给我一个机会，或是一家对进军欧冠充满野心的俱乐部.“,莫 耶 斯 ： 拒 绝 了 几 份 邀 请 想 执 教 欧 冠 球 队,莫 耶 斯 ： 希 望 执 教 欧 冠 冠 军 拒 绝 绝 对
不久前，斯科尔斯曾公开质疑鲁尼的状态，认为他已经过了巅峰期，霍奇森应当敢于弃用鲁尼。鲁尼日前作出回应：”局外人怎么评价，我一点也不感兴趣。我只关心霍奇森、队友怎么说。有媒体说他还在曼联，还说他对我进行了指导，但事实上他没有.“,鲁 尼 回 击 斯 科 尔 斯 ： 他 没 指 导 过 我,霍 奇 森 ： 他 不 想 当 我 的 科 斯 鲁 尼
对于法布雷加斯和切尔西的传闻，托雷斯表示，“签约伟大的球员肯定是好交易，小法在场上头脑清晰，有很好的大局观，在阿森纳时他一直都是一名顶级球员。他的控球非常出色，他会是一名很好的指挥官，切尔西现在缺少这样的球员。,托 雷 斯 ： 切 尔 西 缺 少 小 法 这 样 的 指 挥 官,托 雷 斯 ： 他 的 伟 大
当地时间6月5日，AC米兰在官网上宣布巴西中卫阿莱士正式加盟，双方签署了一份为期两年的合同。阿莱士在接受采访时说：“能够加盟AC米兰我十分高兴，我的朋友都向我推荐这家伟大的俱乐部。我已经准备好为米兰而战了，我们必须重返欧冠.”,A C 米 兰 宣 布 阿 莱 士 免 费 加 盟 签 约 2 年,阿 莱 加 盟 巴 士 加 盟 米 兰
在西班牙热身赛前的新闻发布会中，皮克表示巴萨并未对法布雷加斯表现出应有的重视，”我很喜欢弗朗西斯科，我了解他目前正经历一个艰难的时刻，因为俱乐部并没有对他表现出应有的重视，他是所有俱乐部的首选球员之一，但他在巴萨依旧过得很艰难。,皮 克 ： 巴 萨 并 未 重 视 小 法,皮 克 ： 我 的 对 阵 容
伊布日前在接受《体育画报》采访时说道：“我职业生涯当中最为出色的对手？我想是罗纳尔多，‘现象’。为什么？因为他是我曾经的偶像，还因为作为一名球员，他是最全面的，今后再也不会出现一个比他更棒的球员了。,伊 布 ： 不 会 再 有 比 大 罗 更 强 的 球 员,伊 布 布 什 么 ？
在英格兰2-2战平厄瓜多尔的比赛中，鲁尼出现在了左边锋的位置。对此，鲁尼在接受采访时说：”不管是踢左边锋、中场还是中锋，我一直为自己能代表英格兰出战而骄傲，不管我在场上踢什么位置都不会改变这一点，不管踢什么位置我都很高兴.“,鲁 尼 ： 我 愿 意 为 英 格 兰 踢 任 何 位 置,鲁 尼 ： 不 会 踢 出 来 ， 瓜 分 左 脑
据《机密报》最新消息，皇马上赛季收入高达5.33亿欧元，超过了上赛季5.189亿欧元的收入。收入进一步攀升的皇马已为2014/15赛季拟定了接近5.25亿欧元的运营预算，这将足以确保皇马今夏继续引进超级球星。,皇 马 上 赛 季 收 入 5 . 3 3 亿 足 坛 第 1 下 赛 季 预 算 5 . 2 5 亿,超 级 杯 进 入 季 季 季 度 超 预 期
北京时间6月5日，曼城俱乐部通过其官网确认，MLS纽约FC队史首签大卫-比利亚将会于2014年10-12月期间代表墨尔本城训练并出场比赛。比利亚说：“在墨尔本城效力期间，我也会尽心踢好每一场比赛，就像我在此前效力过的任何一支球队一样。,比 利 亚 将 代 表 墨 尔 本 城 出 战 新 赛 季 澳 超,比 尔 - - - - - - - - - - - - - - - - - -
前德国中场巴拉克担心，厄齐尔在加盟阿森纳后迷失了自己，”很难说厄齐尔在世界杯上能够发挥到怎样的水平。他过去为德国队出赛表现得一直很不错，但自从加盟阿森纳后，他不再是那个我们所熟悉的厄齐尔，尤其不是以往国家队中那个充满自信的厄齐尔.“,巴 拉 克 ： 厄 齐 尔 丧 失 了 自 信,厄 齐 尔 ： 厄 齐 尔 加 盟 厄 齐 尔
英格兰自1990年来已经6次在大赛中倒在点球大战这一环。杰拉德在接受BBC采访时说：我们将针对点球进行大量训练，因为我们输掉了不少点球大战。球员们希望在90分钟或者120分钟内解决战斗，这样就可以避免点球大战，但我们也做好了踢点球的准备。,杰 拉 德 ： 英 格 兰 会 加 练 点 球,英 格 兰 大 战 ： 球 迷 点 球 大 战
入选阿根廷出征巴西世界杯23人大名单的曼城后卫德米凯利斯日前剪掉一袭长发以示庆祝。德米凯利斯在曼城的队友阿圭罗对于其入选萨维利亚的23人大名单表示，“他能够被征召入队参加世界杯并不意外，我想他已经为自己争取到了位置。,将 战 世 界 杯 ， 德 米 凯 利 斯 削 去 长 发 以 示 庆 祝,德 国 队 队 友 庆 大 队 长 队 队 长 凯
亮相BBC新纪录片《大卫-贝克汉姆：驶入迷雾》的贝克汉姆表示自己有了回归的冲动，“当看到运动员在最高水平的比赛中表演，那会让我有一种渴望，我想要重新回到比赛场上，我心想，‘我还能够再踢比赛吗？我能宣布复出吗？”,贝 克 汉 姆 暗 示 复 出 ， 或 成 首 位 老 板 兼 球 员,贝 克 汉 姆 回 归 复 出
范加尔近日在接受采访时谈到了热刺：“当时非常接近，非常接近。小时候我就是热刺队的球迷，他们当中拥有吉米-格雷夫斯，而他是个冠军球员。格雷夫斯是我的偶像。他们的白色球衣很漂亮，所以我差点儿就去了热刺。,范 加 尔 ： 从 小 是 热 刺 球 迷 ， 来 曼 联 前 差 点 去 白 鹿 巷,热 刺 ： 刺 热 刺 激 雷 尔 斯
梅西在接受《马卡报》采访时说道:“那些评论我都有所耳闻：我没有为国家队踢球的欲望，我对这件球衣没有感情。听到自己国家的人说这种话让我很受伤。阿根廷是我的国家，我的家乡，我甚至愿意用我所有的纪录来换取家乡人民的高兴。,梅 西 ： 遭 国 人 指 责 很 受 伤,潘 梅 踢 ： 我 国 家 乡 情 人 踢 球
巴西世界杯开幕在即，《每日邮报》于今天评选出了10大有望在今夏夺得世界杯金靴的球星，巴萨双星梅西、内马尔分列前两位，C罗和阿圭罗紧随其后，而南非世界杯的金靴奖得主托马斯-穆勒未能上榜。附巴西世界杯10大金靴候选名单…,巴 西 世 界 杯 十 大 金 靴 候 选 ： 巴 萨 双 星 领 跑,穆 勒 金 球 奖 评 选
前德国球星马特乌斯在接受德国天空体育的采访时表示，多特蒙德新近签下的伊莫比莱无法取代今夏转投拜仁的莱万多夫斯基，“伊莫比莱是个拥有技术和潜力的球员，但很抱歉，他取代不了莱万多夫斯基。,马 特 乌 斯 ： 伊 莫 比 莱 取 代 不 了 莱 万,伊 斯 莱 代 球 星 球 员 多 代 球 星 代 替
贝利在接受西班牙报纸《西班牙国家报》采访时说道，“要是我还在踢球，我依然会是最出色的，原因是上帝会给我那样的天赋。这就好像是你问贝多芬他会在另外一个时代创作怎样的音乐，不管他创作何种音乐，他的天赋都是毋庸置疑的。,贝 利 ： 放 在 今 天 我 仍 会 成 最 佳,贝 利 ： 我 是 天 赋 贝 利 的 贝 利
本泽马日前在接受《队报》采访时将安切洛蒂和穆里尼奥进行了比较，“安切洛蒂是个平静和善的人，他不会给球员施加压力。穆里尼奥则完全不同，他用的是另一种方式。当穆里尼奥和我说话时，我在想：‘他为什么这样评价我？’但一切事物都是相互联系的.”,本 泽 马 ： 安 帅 比 穆 帅 和 善,穆 里 尼 奥 ： 我 的 安 静 切 洛 蒂
前阿森纳球星斯图尔特-罗布森在接受《星期日计分板》采访时说道：“我并不觉得法布雷加斯会是阿森纳需要的人，他当初在阿森纳表现得很棒，但最后一个赛季表现并不好，我觉得重签小法将是一种退步，我觉得他去利物浦或者曼联可能会更好。,名 宿 ： 阿 森 纳 重 签 小 法 将 是 倒 退,罗 杰 斯 ： 我 会 不 会 退 出
莫耶斯日前在接受采访时说道：“自从离开曼联后，我收到了一些不错的执教邀请，其中有一两个还很有吸引力，但我不确定是去英国还是其他国家，当然也可能会选择休息一段时间。但有一点可以确定，那就是被解雇一事我已经翻篇了.”,莫 耶 斯 ： 被 曼 联 解 雇 已 经 翻 篇 还 未 决 定 立 即 重 执 鞭,莫 耶 斯 ： 我 的 休 息 时 刻
当地时间6月1日，出征世界杯的英格兰在卢顿机场转机时，一名与球员们身着完全相同西服的陌生人混入了英格兰队中，随后被杰拉德发现，并叫来了保安，“请”出了这名不速之客。据了解，这个陌生人是英国BBC电视台的一名喜剧演员。,英 格 兰 出 征 遇 尴 尬 喜 剧 演 员 混 入 国 家 队,英 国 人 喜 忧 英 格 兰
勒夫在接受《印度时报》采访时表示，“德国队这一次有能力夺得世界杯，我们各个位置上都有世界上最出色的球员，但我们并不是唯一的夺冠热门，葡萄牙，荷兰，西班牙，还有巴西和阿根廷。这会是一届开放的世界杯，没有绝对的夺冠热门。,勒 夫 ： 巴 西 世 界 杯 格 局 开 放 ， 德 国 能 夺 冠,德 国 夺 冠 ： 世 界 杯 夺 冠
英国媒体日前报道称，前亚足联主席本哈曼曾花费370万欧元帮助卡塔尔获得了2022年世界杯的主办权。国际足联副主席博伊斯在接受BBC采访时表示:“如果调查报告显示2022年世界杯投票工作确实存在人为操控现象，我们肯定会考虑重新进行票选工作.”,F I F A 或 重 启 2 0 2 2 年 世 界 杯 票 选 工 作,卡 塔 尔 亚 塔 ： 世 界 杯 前 世 界 杯
鲁尼日前在接受《每日镜报》采访时表示，“这是我所效力过的实力最强的一支英格兰，我们的一大弱点就是拥有很多年轻人，但正因为如此，接下来的表现完全说不准，我们可以在这次世界杯上大放异彩，一路杀进到决赛，给所有人一个惊喜。,鲁 尼 ： 这 是 我 所 效 力 过 实 力 最 强 的 英 格 兰,鲁 尼 ： 我 们 一 个 放 过 的 一 个 世 界 杯
马塔日前在接受采访时表示英格兰完全有希望获得本届世界杯的冠军，“我认为英格兰能够杀入半决赛，决赛，他们能争夺冠军。因为他们有23个非常优秀的球员，一个优秀的教练，还有名世界级的球员鲁尼，所以为什么不可能呢？”,马 塔 ： 英 格 兰 能 赢 世 界 杯 ， 鲁 尼 世 界 级,鲁 能 ： 世 界 杯 球 级 能 力 为 鲁 尼
近日，苏亚雷斯的律师坦承，苏神很难拒绝来自皇马方面的转会邀请，“一年之前他差点儿就离开利物浦了，要是皇马为他提出一个高报价，那他将很难说不，苏亚雷斯一直都很倾向于去西班牙踢球。,律 师 ： 苏 神 倾 向 踢 西 甲 ， 很 难 回 绝 皇 马,皇 马 之 一 ： 皇 马 请 不 要 离 开
阿圭罗在PUMATricks战靴发布仪式的“自访自”环节上表示自己能够在世界杯上拿到金靴奖，“我当然能拿金靴！它正朝我招手呢。我们也有机会夺得世界杯，但这并不容易！”,阿 圭 罗 ： 我 能 赢 得 世 界 杯 金 靴,金 靴 奖 金 当 环 罗 赛
迪玛利亚近日在接受采访时说道：“当你为俱乐部拼尽全力时却有消息说你可能会被交易到热刺，这真的很让人伤心。“天使还表示，他绝不会考虑加盟像热刺这样的俱乐部。《每日星报》认为迪玛利亚即使离开皇马也只会去阿森纳或者曼联这样的豪门.,迪 玛 利 亚 ： 跟 热 刺 联 系 在 一 起 很 伤 心,阿 森 纳 利 亚 使 会 使 用 热 刺
阿尔维斯在接受《印度时报》采访时表示，“内马尔拥有超强的天赋，这赛季表现得也挺好，别忘了这可是他在欧洲效力的第一个赛季，西甲联赛的处子赛季可不是那么容易踢的，他会在世界杯的赛场上证明给大家看。,阿 尔 维 斯 ： 内 马 尔 天 赋 异 禀 ， 世 界 杯 上 证 明 自 己,马 尔 西 斯 ： 有 效 可 力 赛 季 度
哈维在接受TimesofIndia采访时说到：“人们批评我们2012欧洲杯的打法过于无聊，但别忘了正是这样一支无聊球队在决赛4-0击败了意大利。意大利的防守一直很出色，但我们漂亮地大比分战胜他们。所以我们不在乎外界是如何评论我们的。,哈 维 ： 西 班 牙 打 法 无 聊 ？ 别 忘 了 4 - 0 意 大 利,意 大 利 评 ： 欧 洲 杯 ， 我 们 们 的 意 见
近日梅西在接受ESPN体育的专访时承认希望在巴西拿到世界杯冠军，但也指出：“夺冠不是为了让大家改变看待我的方式，而是跟国家队一起达到目标，让国家队成为最佳，我渴望能在世界杯夺冠，但不是为了证明自己是世界第一。,梅 西 ： 渴 望 在 世 界 杯 夺 冠 ， 但 不 为 证 明 自 己 是 世 界 第 一,世 界 第 一 为 夺 冠 ： 为 夺 冠
北京时间5月29日，意大利著名前锋迪纳塔莱在今年1月份时宣布自己将会退役，但现在推迟了自己的挂靴计划，决定再为乌迪内斯效力一年，“我将回到球队，并且继续为乌迪内斯效力。,迪 纳 塔 莱 推 迟 退 役 计 划 再 为 乌 迪 内 斯 效 力 一 年,意 大 利 将 推 迟 退 役 内 斯
意大利足协日前证实拉齐奥中场米纳拉确实是17岁，而不是42岁。曾有人米怀疑纳拉真实年龄为42岁，不过在联赛的高层们对其进行深入的调查之后证实米纳拉确实是17岁，意足协发表声明称：“高级检察官已经检查过了报告，并命令调查就此终止。,意 大 利 足 协 证 实 拉 齐 奥 小 妖 确 为 1 7 岁,奥 拉 纳 米 利 证 实 ： 足 协 已 确 认
斯科尔斯在其为某博彩公司撰写的博客中写道:“南非世界杯上，我们的表现太过消极以致平淡无奇，结果可想而知。英格兰球迷可不想再看到这样沉闷的比赛了。今年在巴西，英格兰应采用跟利物浦一样的主攻打法，这会让人有一种耳目一新的感觉,斯 科 尔 斯 ： 英 格 兰 应 复 制 红 军 攻 击 型 打 法,博 客 ： 世 界 杯 球 迷 无 缘 赛
迪马利亚日前在接受《马卡报》采访时表示，自己的未来掌握在皇马手中，“我不会说谎，我知道有一些球队想要签下我，也能够给出不逊于皇马的条件。但这要取决于我的经纪人和俱乐部。要是俱乐部想要我留下，我就会留下。,迪 马 利 亚 ： 未 来 皇 马 说 了 算 ， 安 帅 当 初 劝 我 留 下,皇 马 ： 我 想 要 想 要 说 说
巴伦西亚名宿盖兹卡-门迭塔日前在接受媒体采访时表示，科斯塔不该代表西班牙出战，“迭戈-科斯塔是个很棒的球员，但他之前曾代表巴西出战，这可能有点儿不公平，我个人是这么认为的，我觉得一旦你下定决心了，你就应该从一而终。,门 迭 塔 ： 科 斯 塔 不 该 代 表 西 班 牙 出 战,科 斯 塔 ： 不 是 个 人 的 宿 命
当地时间5月28日，霍金通过科学公式计算的英格兰队如何能够在2014年巴西世界杯夺魁的要素，首先，三狮军团要在海拔500米以下的球场比赛，其次，他认为打4-3-3会比4-4-2更好，最后，他指出英格兰在欧洲裁判的手下会有63%的赢球几率。,霍 金 列 英 格 兰 夺 冠 公 式 ： 4 3 3 阵 形 罚 点 球 跑 3 步,英 格 兰 ： 英 格 兰 夺 得 欧 冠 球 队
北京时间5月29日，西汉姆官方宣布从萨斯菲尔德签下27岁的阿根廷射手萨拉特。萨拉特已经完成体检并和俱乐部签订了一份3年合同+续约1年的选择权。转会西汉姆是萨拉特职业生涯第二次登陆英伦，在2008年萨拉特曾被租借至伯明翰俱乐部。,官 方 ： 西 汉 姆 宣 布 签 下 阿 根 廷 射 手 萨 拉 特,阿 根 廷 特 斯 拉 姆 萨 斯 签 下
马蒂诺日前在接受《西班牙足球》采访谈到了正在随阿根廷备战巴西世界杯的梅西，马蒂诺认为，梅西可以率领他的球队在巴西登顶，“他才27岁，依然可以打破很多的纪录，世界杯是他展现自己的最佳舞台，是该让这代球员夺得世界杯的时候了。,马 蒂 诺 ： 梅 西 能 率 阿 根 廷 夺 世 界 杯,世 界 杯 ： 梅 西 夺 世 界 杯 最 佳 球 队
北京时间5月29日凌晨消息，NFL球队坦帕湾海盗通过官方网站宣布球队老板马尔科姆-格雷泽去世，享年85岁，格雷泽同时也是英超球队曼联的拥有者。在格雷泽时代，曼联5次夺取英超冠军(2007、2008、2009、2011、2013)，并在2008年夺得了欧冠冠军。,曼 联 老 板 马 尔 科 姆 - 格 雷 泽 去 世,英 格 雷 坦 雷 泽 马 英 格 雷 斯 坦 球
迪马利亚日前在接受RadioLaRed采访时表示，阿根廷如果不能在今夏的巴西世界杯上夺冠就将被视为失败，我们必须不遗余力，为了杀进决赛并最终夺冠，如果我们不能拿世界杯冠军，那就是失败。,迪 马 利 亚 ： 阿 根 廷 不 夺 世 界 杯 就 是 失 败,阿 迪 夺 冠 ： 世 界 杯 冠 军 不 能 败
弗洛伦蒂诺日前在接受媒体采访时表示在球队夺冠后收到了穆里尼奥发来的祝贺短信，“穆里尼奥发短信向我表示祝贺，私人间的对话通常不便对外透露。有人批评他的为人处世，但必须尊重他。媒体不喜欢他的处事方式，但每个主教练都有他的个性。,佛 爷 : 收 到 穆 帅 祝 贺 信 息,穆 里 尼 奥 ： 我 对 我 对 他 人 尊 重
北京时间5月28日凌晨，欧足联纪律委员会宣布将对西蒙尼和阿隆索进行指控。欧足联纪律委员会认为，西蒙尼在比赛未结束进入球场属违规行为，而阿隆索的跳下看台庆祝属一般性质的违规行为。有媒体透露，西蒙尼将可能遭到6场禁赛的处罚。,欧 足 联 指 控 西 蒙 尼 + 阿 隆 索 龙 哥 翻 下 看 台 惹 祸,西 蒙 尼 将 将 禁 止 联 赛 场
近日，亚亚图雷在接受《法国足球》采访时说道，”每当想起巴黎圣日耳曼这样的球队，你怎么能对他们不感兴趣呢？PSG已经是欧洲足坛一股不可忽视的重要力量。如果有朝一日能成为其中的一份子，为其所用，那我会感到非常荣幸。,亚 亚 - 图 雷 ： 为 P S G 效 力 将 是 一 大 荣 耀,巴 黎 圣 诞 耳 亚 足 球
巴洛特利在接受意大利GQ采访时表示，因为自己是黑人的缘故，受到了比作为白人更多的批评和指责”我会犯一些错误，但不管我做了什么，我总是会为此付出代价，我比较另类，这会让他们不爽，但如果我是白人，他们只会因为我犯的错误侮辱我。,巴 神 ： 若 是 白 人 不 会 受 这 么 多 指 责,我 为 什 么 会 犯 错 误 ？
当地时间5月27日，热刺官方宣布波切蒂诺正式出任球队的执行主教练，这名42岁的阿根廷少帅与俱乐部签订5年的长约。波切蒂诺表示，热刺是一家充满历史和威望的俱乐部，我很荣幸能在这执教，这里有最顶级的阵容，我已经迫不及待的要开始我的工作了。,热 刺 官 方 宣 布 波 切 蒂 诺 上 任,阿 根 廷 主 帅 ： 切 根 希 望 与 任 务 根
北京时间5月27日，中国男足公布了六月份三场热身计划，分别是6月18日和22日先后两战马其顿国家队，6月29日与马里国家队交手。这也是新主帅佩兰重组国足后首次在国人面前亮相，而此次六月比赛的主题确定为“从心开始”。,国 足 发 布 最 新 海 报 : 从 心 开 始,马 竞 亮 相 ： 国 足 重 新 定 阵
《每日邮报》报道：在主教练布兰登-罗杰斯与球队续约到2018年后，苏亚雷斯已经亲口告诉自己的队友，他会留在安菲尔德，他想在下赛季和红军一起夺得英超冠军。并且苏亚雷斯和他的妻子已经为他们的女儿在利物浦办理了入学手续。,苏 神 亲 承 将 留 队 不 去 皇 马,罗 杰 斯 ： 苏 亚 雷 斯 续 约
申花在本轮中超中客场输给泰达，就在赛前，有空姐在微信上称申花球员在乘飞机去天津时让其领悟到智商是硬伤的道理。对此，已经离开申花的戴琳表达了自己的愤怒之情，他直言：比起你们这些便宜货，球员真的不敢恭维你们！,空 姐 骂 球 员 智 商 低 戴 琳 : 比 你 们 这 些 便 宜 货 强,飞 机 ： 你 们 敢 起 吗 ？
据《镜报》最新报道，由于在欧冠决赛中冲进场内与皇马中卫瓦拉内发生冲突，随后又和主裁判库佩斯产生口角，而且库佩斯已经在递交给欧足联纪律委员会的报告里详细描述了西蒙尼的有关言行，马竞主帅在新赛季有可能将被处以多达6场欧战的禁赛。,西 蒙 尼 或 将 面 临 6 场 禁 赛 处 罚,欧 佩 西 战 场 或 将 欧 佩 战 场
就在上周，前大连实德主帅文加达第六次来到北京讨薪，这引发同样被欠薪困扰的原大连实德球员张耀坤的助阵。他在微博中写道：“欠我的工资奖金也没给，上哪儿说理去？没那个金钢钻揽什么瓷器活，当初牛B都吹飞了”。,实 德 欠 薪 再 引 关 注 张 耀 坤 愤 怒 : 当 初 牛 X 都 吹 飞 了,德 媒 ： 欠 薪 欠 薪 欠 薪
有这样一群人，他们在俱乐部留下过光辉足迹，但在世界杯这个最大的舞台上，他们品位的是无奈和落寞。纵然有一腔热血想在世界杯建功立业，但因球队整体实力的不足，他们只能成为胜利者们的垫脚石。不以成败论英雄，他们没有成功，也不算失败。,世 界 杯 十 大 孤 星 传 说,足 球 的 热 血 败 败
博斯克公布了西班牙5月30日热身赛的19人名单。马德里双雄的8名球员将会缺席这场比赛，包括比利亚和迭戈-科斯塔，而这两人基本确定都能参加世界杯。所以本场比赛原本是托雷斯、内格雷多和略伦特竞争的机会。但在这19人名单中，博斯克只招入了托雷斯一名中锋。,托 雷 斯 领 跑 中 锋 P K,托 雷 斯 人 ， 马 竞 克 斯
随着本赛季欧冠落下帷幕，Goal.com进球网也评选本赛季欧冠最佳阵容。其中，C罗领衔皇马四人入选成为最大赢家，马竞亦有三人入选，连续第二年因净胜球劣势止步八强的伊布同样榜首有名，而巴萨的当家球星梅西落选。,进 球 网 欧 冠 最 佳 阵 容 ： C 罗 领 衔 无 梅 西,梅 西 竞 选 落 入 欧 洲 最 佳
”在恒大与贵州之战后，里皮毫不讳言队裁判的怒批，“他是我见过中国最差的裁判！”然而，这一言论换来的却是一场停赛和罚款8000。当里皮知道自己的处罚后，他显得若无其事，并表示“这不是问题！”,里 皮 懒 理 足 协 停 赛 处 罚 : 这 不 是 问 题,“ 最 差 的 裁 判 ” ， 我 是 什 么 ？
本赛季欧冠C罗共打进17球，不仅蝉联了最佳射手，还以17球超越梅西和阿尔塔菲尼保持的14个进球，创造了单赛季的欧冠进球新纪录。在欧冠总射手榜上，C罗以67球追平梅西，超越榜首劳尔的71球只是时间问题。附本赛季欧冠射手榜及总射手榜排名…,1 7 球 ！ C 罗 创 造 欧 冠 单 赛 季 进 球 新 纪 录,欧 冠 球 ， 创 新 超 越 欧 冠
杰拉德日前透露，在输给切尔西一战中滑倒送礼后，特意找了英格兰队的心理专家史蒂夫做心理疏导，“每一堂训练课我都会同他聊，有他在身边，能帮助我度过这样的困境。“杰拉德还强调，“我会在世界杯上证明给大家看，我不会因为此次失误而消沉。,杰 拉 德 : 曾 为 滑 倒 看 心 理 医 生,德 拉 夫 妇 ： 我 们 一 切 ， 他 都 会 犯 错 失
欧冠决赛后马竞主帅西蒙尼出席了新闻发布会。当西蒙尼走进新闻发布会现场时，全场记者和工作人员起立鼓掌。西蒙尼含着热泪说道：“感谢大家，谢谢来到现场的马竞球迷的掌声，我们付出了一切，很遗憾距离冠军那么近，下赛季我们会继续努力做准备。,发 布 会 西 蒙 含 泪 告 白 : 来 年 再 战,欧 冠 谢 谢 会 夺 冠
今天凌晨，10人应战的女皇公园巡游者在英超升级附加赛中最后时刻1-0绝杀德比郡，时隔一年后重回英超。替补登场的前英格兰国脚萨莫拉第90分钟打进绝杀球，而此球价值高达1.34亿英镑，QPR继英冠冠亚军莱切斯特城和伯恩利之后，锁定了最后一个升超名额。,女 王 公 园 1 年 后 重 回 英 超,超 级 球 迷 杀 人 超 1 0 0 0 0
在接受《每日体育报》采访时，梅西坦率承认，他曾拒绝过西班牙的召唤：“我早就想到了西班牙会召唤我，那是一次非正式的接触，但我一直都强调，我只想要为我的祖国效力，因为我热爱阿根廷。我希望改变之前世界杯中的颓势，我想要让阿根廷人开心。,梅 西 坦 承 曾 拒 绝 西 班 牙 召 唤,阿 根 廷 ： 我 想 要 想 要 我 想 承 心
马竞中场蒂亚戈-门德斯在接受欧足联官网采访时说道：“对于俱乐部的每个人来说，西蒙尼就像是上帝。他的到来使得俱乐部的一切都发生了改变。我们追随着他，如果他让我们去跳河，我们都会那么做的。我们非常骄傲能够拥有他作为我们的教练。,马 竞 中 场 ： 西 蒙 尼 就 像 是 上 帝,西 亚 尼 斯 ： 我 们 是 我 的
在下月同荷兰队的热身赛上，由于球队的正副队长拉姆塞和阿什利-威廉姆斯都不会出场，因此贝尔将成为威尔士主教练克里斯-科尔曼的队长人选。科尔曼在接受采访时说道：“我已经选定了队长人选，但是我还没有告诉他，他会快就会知道了。,贝 尔 将 接 过 威 尔 士 队 长 袖 标,科 尔 克 ： 曼 城 人 选 人 ， 我 会 长 队
《每日邮报》：鲁尼日前在接受采访时说道：“我曾经在很多比赛里担任场上队长，我已经准备好担任曼联队长了，但是这还是要听教练的，不管他选谁当队长我都会尊重他的决定。如果范加尔选择了范佩西，我确信他会是一名好队长。,鲁 尼 : 已 准 备 好 当 曼 联 队 长 不 介 意 范 加 尔 选 范 佩 西,鲁 尼 ： 我 会 长 队 长 队 长 队
近日在接受《ESPN》采访时，马特拉齐终于向人们揭晓了这段尘封的往事：“当我拉扯他球衣的时候，他对我说，如果你真的想要我这件球衣，比赛结束之后我会将他送给你。然后我就回应他‘相比较你的球衣，我更喜欢你的姐姐”……,马 特 拉 齐 坦 白 侮 辱 齐 祖 内 容 称 良 心 上 清 白,特 拉 拉 ： 我 们 的 球 衣 终 于 给 我 们
北京时间5月23日凌晨，美国国家队主帅克林斯曼公布了球队参加巴西世界杯的23人大名单。令人倍感意外的是，曾三度代表美国队征战世界杯、目前位居美国男足历史第一射手位置的老将多诺万意外落选。,美 国 公 布 世 界 杯 2 3 人 大 名 单 : 多 诺 万 落 选,世 界 杯 队 选 手 ， 落 选
贝克汉姆在接受天空体育采访时说道：“我们被分到了一个困难的小组。意大利总能在世界杯上取得好成绩，是这对于英格兰来说可能是个好消息，因为我们在面对顶级强队的时候总能表现得很好。,小 贝 ： 碰 到 意 大 利 是 好 事 英 格 兰 善 打 强 队,英 格 兰 小 组 赛 季 ： 英 格 兰 顶 级
《每日电讯》消息：苏亚雷斯在训练中膝盖扭伤，经检查后确认为半月板受伤。乌拉圭足协已经为苏亚雷斯安排了手术，苏神会尽快接受半月板修复手术。从这种伤病中恢复通常要花费4-6周，而现在距世界杯开幕只剩下3周的时间。,苏 神 受 伤 恐 缺 席 世 界 杯 小 组 赛,苏 亚 雷 斯 半 月 后 复 苏
德国国家队前队长巴拉克公开表示，在世界杯之后勒夫应该离开德国队:“我认为，在本届世界杯之后勒夫不应该继续执教国家队，他的压力和负担太沉重了。即使德国赢得冠军，他也该离开，因为在夺得世界杯之后他不可能再为国家队带来什么改进。,巴 拉 克 ： 世 界 杯 后 勒 夫 应 该 该 离 任,德 国 队 长 ： 我 国 队 进 球 队
里贝里在接受法国电台采访时表示巴西世界杯将是他的谢幕演出：“这将是我的最后一届世界杯。我们将去往巴西争取荣誉，尝试去赢得世界杯。”里贝里此前已参加过两届世界杯，在下届俄罗斯世界杯到来之际他将年满35岁,里 贝 里 ： 这 将 是 我 的 最 后 一 届 世 界 杯,世 界 杯 将 将 世 界 杯 里 贝 里 巴 西 世 界 杯
为适应巴西湿热的气候，英格兰主帅霍奇森想出了奇招：他让在葡萄牙备战的英格兰队队员身穿三层衣服进行训练：“我们必须适应真正的湿热天气，通常他们只穿着T恤进行训练，但现在需要在外面加一件轻质的训练服和一件不透气的外套。,巴 西 太 热 怎 么 办 ？ 英 格 兰 ： 训 练 时 穿 三 件 衣 服,霍 奇 奇 ： 适 应 适 应 适 应 衣 服
北京时间5月21日，广州富力与山东鲁能的赛前新闻发布会在广州举行。这次赛前新闻发布会的主题，却是库卡与体坛周报记者张远之间恩怨的续集。针对张远预测的，明晚山东鲁能会1-4输给广州富力的说法，库卡做出了回应…………,体 坛 记 者 预 测 鲁 能 1 - 4 富 力 库 卡 : 他 算 真 球 迷 ?,鲁 能 ： 富 力 会 力 挺 山 东
